,td_player_name,passer_player_name,receiver_player_name,rusher_player_name,lateral_receiver_player_name,lateral_rusher_player_name,lateral_sack_player_name,interception_player_name,lateral_interception_player_name,punt_returner_player_name,lateral_punt_returner_player_name,kickoff_returner_player_name,lateral_kickoff_returner_player_name,punter_player_name,kicker_player_name,own_kickoff_recovery_player_name,blocked_player_name,tackle_for_loss_1_player_name,tackle_for_loss_2_player_name,qb_hit_1_player_name,qb_hit_2_player_name,forced_fumble_player_1_player_name,forced_fumble_player_2_player_name,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_name,assist_tackle_2_player_name,assist_tackle_3_player_name,assist_tackle_4_player_name,tackle_with_assist_1_player_name,tackle_with_assist_2_player_name,pass_defense_1_player_name,pass_defense_2_player_name,fumbled_1_player_name,fumbled_2_player_name,fumble_recovery_1_player_name,fumble_recovery_2_player_name,sack_player_name,half_sack_1_player_name,half_sack_2_player_name,penalty_player_name,safety_player_name,name,fantasy_player_name
54,,S.Howell,C.Turner,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,,,,,,,,,,,,,,,,S.Howell,C.Turner
55,,,,A.Gibson,,,,,,,,,,,,,,,,,,V.Dimukeje,,,,V.Dimukeje,K.White,,,,,,,A.Gibson,,Z.Collins,,,,,,,A.Gibson,A.Gibson
56,,,,J.Conner,,,,,,,,,,,,,,,,,,,,J.Davis,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H.Froholdt,,J.Dobbs,
58,,,,J.Conner,,,,,,,,,,,,,,,,,,,,,,J.Davis,C.Barton,,,,,,,,,,,,,,,,J.Conner,J.Conner
59,,J.Dobbs,,,,,,,,,,,,,,,,,,M.Sweat,A.Anderson,,,,,M.Sweat,A.Anderson,,,,,,,,,,,,M.Sweat,A.Anderson,,,J.Dobbs,
60,,,,,,,,,,,,,,N.Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,S.Howell,T.McLaurin,,,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,D.Gardeck,,,,,,,,,,,,,S.Howell,T.McLaurin
62,,S.Howell,,,,,,,,,,,,,,,,,,J.Ledbetter,,,,J.Ledbetter,,,,,,,,,,,,,,J.Ledbetter,,,,,S.Howell,
63,,S.Howell,T.McLaurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,T.McLaurin
64,,S.Howell,,,,,,,,,,,,,,,,D.Gardeck,,D.Gardeck,,,,D.Gardeck,,,,,,,,,,,,,,D.Gardeck,,,,,S.Howell,
65,,,,,,,,,,G.Dortch,,,,T.Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,J.Conner,,,,,,,,,,,,,,,,,,,,,,P.Butler,K.Fuller,,,,,,,,,,,,,,,,J.Conner,J.Conner
67,,J.Dobbs,T.McBride,,,,,,,,,,,,,,,,,,,,,P.Butler,,,,,,,,,,,,,,,,,,,J.Dobbs,T.McBride
68,,J.Dobbs,T.McBride,,,,,,,,,,,,,,,,,J.Smith-Williams,,,,D.Forrest,,,,,,,,,,,,,,,,,,,J.Dobbs,T.McBride
69,,,,K.Ingram,,,,,,,,,,,,,,C.Toohill,,,,,,C.Toohill,,,,,,,,,,,,,,,,,,,K.Ingram,K.Ingram
70,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,,,,,K.Curl,,,,,,,,,,,,,,,,,,,J.Dobbs,Z.Ertz
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.Humphries,,J.Dobbs,
73,,,,R.Moore,,,,,,,,,,,,,,,,,,,,K.Fuller,,,,,,,,,,,,,,,,,,,R.Moore,R.Moore
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,J.Crowder,,,,N.Cooney,,,,,,,,,,C.Matthew,,,,,,,,,,,,,,,,,,,,
76,,S.Howell,J.Dotson,,,,,,,,,,,,,,,,,,,,,B.Baker,,,,,,,,,,,,,,,,,,,S.Howell,J.Dotson
77,,S.Howell,T.McLaurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,,,,,,,,S.Howell,T.McLaurin
78,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Woods,,,,,,,,,,,S.Howell,L.Thomas
79,C.Thomas,S.Howell,,,,,,,,,,,,,,,,,,D.Gardeck,,D.Gardeck,,D.Gardeck,,,,,,,,,,S.Howell,,C.Thomas,,D.Gardeck,,,,,S.Howell,
80,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,A.Gibson,,,M.Prater,,,,,,,,,,,A.Hamilton,K.Boyd,,,,,,,,,,,,,,,,,
82,,S.Howell,C.Samuel,,,,,,,,,,,,,,,,,,,,,,,K.Wallace,,,,B.Baker,,,,,,,,,,,,,S.Howell,C.Samuel
83,,S.Howell,J.Dotson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,J.Dotson
84,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,K.Wallace,,,,,,,,,,,,,,,,,,,S.Howell,L.Thomas
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,S.Howell,C.Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.Wallace,,,,,,,,,,,S.Howell,C.Turner
87,,S.Howell,C.Samuel,,,,,,,,,,,,,,,,,,,,,J.Thompson,,,,,,,,,,,,,,,,,,,S.Howell,C.Samuel
88,,S.Howell,,,,,,,,,,,,,,,,,,D.Gardeck,,,,,,,,,,,,,,,,,,,,,,,S.Howell,
89,,,,,,,,,,,,,,,J.Slye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,J.Slye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,J.Dobbs,M.Brown,,,,,,,,,,,,,,,,,,,,,B.St-Juste,,,,,,,,,,,,,,,,,,,J.Dobbs,M.Brown
93,,,,J.Conner,,,,,,,,,,,,,,,,,,,,J.Davis,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
94,,J.Dobbs,Mi.Wilson,,,,,,,,,,,,,,,,,,,,,B.St-Juste,,,,,,,,,,,,,,,,,,,J.Dobbs,Mi.Wilson
95,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,,,,,C.Barton,,,,,,,,,,,,,,,,,,,J.Dobbs,Z.Ertz
96,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,J.Allen,,,,,,,,,,,,P.Butler,,,,,,,,,,,J.Dobbs,Z.Ertz
97,,J.Dobbs,M.Brown,,,,,,,,,,,,,,,,,,,,,K.Fuller,,,,,,,,,,,,,,,,,,,J.Dobbs,M.Brown
98,,J.Dobbs,J.Conner,,,,,,,,,,,,,,,,,,,,,,,K.Curl,J.Ridgeway,,,,,,,,,,,,,,,,J.Dobbs,J.Conner
99,,J.Dobbs,R.Moore,,,,,,,,,,,,,,,,,,,,,,,K.Fuller,B.St-Juste,,,,,,,,,,,,,,,,J.Dobbs,R.Moore
100,,J.Dobbs,J.Conner,,,,,,,,,,,,,,,A.Anderson,,,,,,A.Anderson,,,,,,,,,,,,,,,,,,,J.Dobbs,J.Conner
101,,J.Dobbs,M.Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Dobbs,M.Brown
102,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,M.Prater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,K.Wallace,,,,,,,,,,,,,,,,,,,S.Howell,L.Thomas
105,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,,,K.White,J.Thompson,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
106,,S.Howell,J.Dotson,,,,,,,,,,,,,,,,,,,,,K.Clark,,,,,,,,,,,,,,,,,,,S.Howell,J.Dotson
107,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,L.Collier,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
108,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,J.Luketa,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
109,,S.Howell,,,,,,,,,,,,,,,,C.Watkins,,C.Watkins,,,,C.Watkins,,,,,,,,,,,,,,C.Watkins,,,,,S.Howell,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Charles,,S.Howell,
111,,S.Howell,,,,,,,,,,,,,,,,V.Dimukeje,,V.Dimukeje,,,,V.Dimukeje,,,,,,,,,,,,,,V.Dimukeje,,,,,S.Howell,
112,,,,,,,,,,G.Dortch,,,,T.Way,,,,,,,,,,J.Reaves,,,,,,,,,,,,,,,,,,,,
113,,,,J.Conner,,,,,,,,,,,,,,,,,,,,,,P.Butler,K.Fuller,,,,,,,,,,,,,,,,J.Conner,J.Conner
114,,,,J.Conner,,,,,,,,,,,,,,,,,,,,K.Curl,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.McBride,,,
116,,,,J.Conner,,,,,,,,,,,,,,,,,,,,C.Toohill,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
117,,J.Dobbs,Z.Ertz,,,,,,,,,,,,,,,,,J.Allen,,,,,,,,,,,,,,,,,,,,,,,J.Dobbs,Z.Ertz
118,,,,,,,,,,J.Crowder,,,,N.Cooney,,,,,,,,,,Z.Pascal,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.Wylie,,S.Howell,
120,,S.Howell,B.Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,B.Robinson
121,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.Thomas,,,,,,,,,,,S.Howell,L.Thomas
122,,S.Howell,L.Thomas,,,,,,,,,,,,,,,,,,,,,Ma.Wilson,,,,,,,,,,,,,,,,,,,S.Howell,L.Thomas
123,,,,,,,,,,G.Dortch,,,,T.Way,,,,,,,,,,J.Reaves,,,,,,,,,,,,,,,,,,,,
124,,,,K.Ingram,,,,,,,,,,,,,,D.Payne,,,,,,D.Payne,,,,,,,,,,,,,,,,,,,K.Ingram,K.Ingram
125,,,,J.Dobbs,,,,,,,,,,,,,,J.Allen,,,,,,J.Allen,,,,,,,,,,,,,,,,,,,J.Dobbs,J.Dobbs
126,,J.Dobbs,,,,,,,,,,,,,,,,,,,,M.Sweat,,M.Sweat,,,,,,,,,,J.Dobbs,,D.Payne,,M.Sweat,,,,,J.Dobbs,
127,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,L.Collier,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,J.Luketa,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
130,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,J.Luketa,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
131,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,K.White,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
132,,S.Howell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,
133,,,,C.Rodriguez,,,,,,,,,,,,,,,,,,,,,,B.Ojulari,,,,C.Watkins,,,,,,,,,,,,,C.Rodriguez,C.Rodriguez
134,S.Howell,,,S.Howell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Howell,S.Howell
135,,,,,,,,,,,,,,,J.Slye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,J.Slye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,J.Conner,,,,,,,,,,,,,,M.Sweat,,,,,,M.Sweat,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
138,,J.Dobbs,J.Conner,,,,,,,,,,,,,,,K.Curl,,,,,,K.Curl,,,,,,,,,,,,,,,,,,,J.Dobbs,J.Conner
139,,J.Dobbs,R.Moore,,,,,,,,,,,,,,,,,,,,,J.Smith-Williams,,,,,,,,,,,,,,,,,,,J.Dobbs,R.Moore
140,,,,,,,,,,J.Crowder,,,,N.Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,B.Robinson,,,,,,,,,,,,,,,,,,,,,,J.Ledbetter,,,,K.Barnes,,,,,,,,,,,,,B.Robinson,B.Robinson
142,,,,B.Robinson,,,,,,,,,,,,,,K.White,,,,,,K.White,,,,,,,,,,,,,,,,,,,B.Robinson,B.Robinson
143,,S.Howell,A.Gibson,,,,,,,,,,,,,,,,,,,,,,,K.Wallace,B.Baker,,,,,,,,,,,,,,,,S.Howell,A.Gibson
144,,,,,,,,,,G.Dortch,,,,T.Way,,,,,,,,,,,,J.Reaves,D.Mayo,,,,,,,,,,,,,,,,,
145,,J.Dobbs,Mi.Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.Dobbs,Mi.Wilson
146,,,,J.Conner,,,,,,,,,,,,,,,,,,,,,,D.Forrest,,,,C.Barton,,,,,,,,,,,,,J.Conner,J.Conner
147,,,,J.Conner,,,,,,,,,,,,,,,,,,,,J.Allen,,,,,,,,,,,,,,,,,,,J.Conner,J.Conner
